<meta-data>
nrMolecules = 5740
nrFoodSet   = 48
nrReactions = 6039

<molecules>
H2O; Water	C00001
2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone	C05815
(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate; (1R,6R)-2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate; SHCHC	C05817
2-Demethylmenaquinone	C05818
Menaquinol; Reduced menaquinone; Vitamin K2 hydroquinone; Reduced vitamin K2	C05819
Enterochelin; Enterobactin; Tri-(2,3-dihydroxy-N-benzoyl-L-serine)-ester; Tri-(N-(2,3-dihydroxybenzoyl)-L-serine)-ester	C05821
3'-CMP; Cytidine 3'-phosphate	C05822
3-Mercaptolactate; L-3-Mercaptolactate; (R)-3-Mercaptolactate	C05823
S-Sulfo-L-cysteine	C05824
2-Amino-5-oxohexanoate	C05825
Methylimidazole acetaldehyde; 1-Methylimidazole-4-acetaldehyde; Methylimidazoleacetaldehyde	C05827
Methylimidazoleacetic acid; Tele-methylimidazoleacetic acid; 1-Methyl-4-imidazoleacetic acid; 1-Methylimidazole-4-acetate; Methylimidazoleacetate	C05828
N-Carbamyl-L-glutamate; Carglumic acid	C05829
cis-2-Hydroxycinnamate; 2-Coumarinate	C05838
cis-beta-D-Glucosyl-2-hydroxycinnamate; beta-D-Glucosyl-2-coumarinate	C05839
Iminoaspartate; Iminoaspartic acid; Iminosuccinate	C05840
Nicotinate D-ribonucleoside; beta-D-Ribosylnicotinate	C05841
5-L-Glutamyl-taurine; 5-Glutamyl-taurine; Glutaurine	C05844
all-trans-Polyprenyl diphosphate; Polyisopentenylpyrophosphate; Polyisopentenyldiphosphate; trans-Polyisopentenyldiphosphate; Polyprenyl diphosphate	C05847
4-Hydroxy-3-polyprenylbenzoate	C05848
Vitamin K1 epoxide; (2,3-Epoxyphytyl)menaquinone; 2,3-Epoxy-2,3-dihydro-2-methyl-3-phytyl-1,4-naphthoquinone; 2,3-Epoxyphylloquinone; 1a,7a-Dihydro-1a-methyl-7a-(3,7,11,15-tetramethyl-2-hexadecenyl)-naphth[2,3-b]oxirene-2,7-dione; Phylloquinone oxide; Phylloquinone epoxide; Phylloquinone-2,3-epoxide; Vitamin K1 2,3-epoxide; Vitamin K1 oxide	C05849
Reduced Vitamin K; Vitamin K hydroquinone	C05850
Phenylethyl alcohol; Phenethyl alcohol; 2-Phenylethanol	C05853
4-Hydroxycinnamyl alcohol 4-D-glucoside; p-Coumaryl alcohol 4-O-glucoside	C05855
UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine; UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysine; UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	C05892
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine; GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ala)-diphosphoundecaprenol; GlcNAc-(1->4)-MurNAc(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ala)-diphosphoundecaprenol	C05893
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine	C05894
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)5-D-alanyl-D-alanine	C05895
Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	C05897
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	C05898
3-Methoxyapigenin; 3-O-Methylkaempferol	C05902
Kaempferol; 3,4',5,7-Tetrahydroxyflavone; 3,5,7-Trihydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one; 5,7,4'-Trihydroxyflavonol; C.I. 75640; Indigo yellow; Kaempherol; Kempferol; Nimbecetin; Pelargidenolon; Populnetin; Rhamnolutein; Rhamnolutin; Robigenin; Swartziol; Trifolitin	C05903
Cyanidin; 3,3',4',5,7-Pentahydroxyflavylium chloride; Chlorure de 3,3',4',5,7-pentahydroxyflavylium; 3,3',4',5,7-Pentahydroxyflavyliumchlorid; 2-(3,4-Dihydroxyphenyl)-3,5,7-trihydroxy-1-benzopyrylium chloride; 3,3',4',5,7-Pentahydroxy-2-phenylbenzopyrylium chloride; Cyanidin chloride; Cyanidine; Cyanidol; Cyanidol chloride; IdB 1027	C05905
Leucocyanidin; 2-(3,4-Dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,4,5,7-tetrol; 3,3',4,4',5,7-Flavanhexol; 3,4-Cyanidiol; Leucoanthocyanidol; Leucocianidol; Leucocyanidol; Leukocyanidine; Procyanidol; Resivit; 2,3-trans-3,4-cis-Leucocyanidin	C05906
Leucodelphinidin	C05909
(3Z)-Phycoerythrobilin	C05912
Bathorhodopsin	C05914
Lumirhodopsin	C05915
Metarhodopsin	C05916
Iodopsin	C05917
Biotinyl-5'-AMP	C05921
Formamidopyrimidine nucleoside triphosphate	C05922
2,5-Diaminopyrimidine nucleoside triphosphate	C05923
Molybdopterin; Pyranopterin; H2Dtpp-mP	C05924
Dihydroneopterin phosphate; 2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine phosphate; 7,8-Dihydroneopterin 3'-phosphate	C05925
7,8-Dihydromethanopterin	C05927
(6R)-10-Formyltetrahydropteroyldiglutamate; 10-Formyl-THF-L-glutamate; (6R)-10-HCO-H4PteGlu2	C05928
10-Formyltetrahydrofolylpolyglutamate; 10-Formyl-THF-polyglutamate	C05929
N-Succinyl-L-glutamate; (2S)-2-(3-Carboxypropanoylamino)pentanedioic acid	C05931
N-Succinyl-L-glutamate 5-semialdehyde; (2S)-2-(3-Carboxypropanoylamino)-5-oxopentanoic acid	C05932
N(omega)-Hydroxyarginine; N(omega)-Hydroxy-L-arginine	C05933
N4-Acetylaminobutanal; 4-Acetamidobutanal	C05936
L-4-Hydroxyglutamate semialdehyde	C05938
Pyrrole-2-carboxylate	C05942
L-Arginine phosphate; N5-[Imino(phosphonoamino)methyl]L-ornithine; omega-N-Phosphoarginine; Arginine phosphate; L-Arginine-NG-phosphoric acid; Phosphoarginine A; N-Phospho-L-arginine; N(omega)-Phospho-L-arginine; Phosphoarginine	C05945
(4R)-4-Hydroxy-2-oxoglutarate; (R)-2-Hydroxy-4-oxopentanedioate; D-4-Hydroxy-2-oxoglutarate	C05946
L-erythro-4-Hydroxyglutamate	C05947
Leukotriene D4; LTD4	C05951
Prostaglandin G2; PGG2	C05956
15-Keto-prostaglandin F2alpha; 15-Keto-prostaglandin F2a; 15-Keto-PGF2alpha; 15-Keto-PGF2a	C05960
6-Keto-prostaglandin F1alpha; 6-Keto-prostaglandin F1a; 6-Keto-PGF1alpha; 6-Keto-PGF1a	C05961
Thromboxane B2; TXB2	C05963
15(S)-HPETE; (5Z,8Z,11Z,13E)-(15S)-15-Hydroperoxyicosa-5,8,11,13-tetraenoic acid; 15-Hydroperoxyeicosatetraenoate; 15-Hydroperoxyicosatetraenoate; 15-Hydroperoxyeicosatetraenoic acid; 15-Hydroperoxyicosatetraenoic acid; (5Z,8Z,11Z,13E)-(15S)-15-Hydroperoxyicosa-5,8,11,13-tetraenoate	C05966
2-Acyl-sn-glycero-3-phosphoethanolamine; L-1-Lysophosphatidylethanolamine; O-(2-Acyl-sn-glycero-3-phospho)-ethanolamine	C05973
2-Acyl-sn-glycero-3-phosphoserine	C05974
2-Acyl-1-alkyl-sn-glycero-3-phosphate	C05977
Propane-1-ol; Propanol; 1-Propanol; Propan-1-ol; Propyl alcohol; 1-Hydroxypropane; Ethylcarbinol; n-Propanol; n-Propyl alcohol; Optal; Osmosol extra; UN 1274	C05979
Cardiolipin; Diphosphatidylglycerol; 1',3'-Bis(1,2-diacyl-sn-glycero-3-phospho)-sn-glycerol	C05980
Propionyladenylate; Propionyl-adenosine monophosphate	C05983
2-Hydroxybutanoic acid; 2-Hydroxybutyrate; 2-Hydroxybutyric acid	C05984
2-Propynal; 2-Propyn-1-al; Propiolaldehyde	C05985
2-Propyn-1-ol; Prop-2-yn-1-ol; Prop-2-yne-1-ol; Prop-2-in-1-ol; 1-Hydroxy-2-propyne; 1-Propyn-3-ol; 1-Propyn-3-yl alcohol; 2-Propynol; 2-Propynyl alcohol; 3-Hydroxy-1-propyne; 3-Propynol; Ethynylcarbinol; NA 1986; Propargyl alcohol; Propynyl alcohol	C05986
3-Oxopropionyl-CoA; 3-Oxopropanoyl-CoA; Malonyl semialdehyde-CoA	C05989
Isoscoparine; Isoscoparin; C-Glucosyl-6 chrysoeriol; Chrysoeriol 6-C-glucoside	C05990
Acetyl adenylate; 5'-Acetylphosphoadenosine	C05993
3-Hydroxyisovaleryl-CoA; 3-Hydroxyisovaleryl coenzyme A	C05998
Lactaldehyde; 2-Hydroxypropionaldehyde; 2-Hydroxypropanal	C05999
(S)-3-Hydroxyisobutyryl-CoA	C06000
(S)-3-Hydroxyisobutyrate	C06001
(S)-Methylmalonate semialdehyde	C06002
(S)-2-Aceto-2-hydroxybutanoate; (S)-2-Hydroxy-2-ethyl-3-oxobutanoate	C06006
(R)-2,3-Dihydroxy-3-methylpentanoate; (R)-2,3-Dihydroxy-3-methylvalerate; (2R,3R)-2,3-Dihydroxy-3-methylpentanoate	C06007
(S)-2-Acetolactate; (S)-2-Hydroxy-2-methyl-3-oxobutanoate; (2S)-2-Hydroxy-2-methyl-3-oxobutanoate	C06010
dTDP-4-acetamido-4,6-dideoxy-D-glucose; dTDP-4-acetamido-4,6-dideoxy-alpha-D-glucose; dTDP-N-acetylviosamine	C06018
D-arabino-Hex-3-ulose 6-phosphate; D-arabino-3-Hexulose 6-phosphate; D-arabino-6-Phospho-hex-3-ulose	C06019
Methyl-Co(III) corrinoid protein; Methylcorrinoid; Methylcorrinoid protein; Corrinoid protein Co2+-CH3	C06020
Co(I) corrinoid protein; Corrinoid; Corrinoid protein; Corrinoid protein Co+	C06021
UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine; UDP-3-O-(beta-hydroxymyristoyl)-D-glucosamine; UDP-3-O-[(3R)-3-hydroxymyristoyl]-D-glucosamine; UDP-3-O-[(3R)-3-hydroxymyristoyl]-alpha-D-glucosamine	C06022
D-Glucosaminide; Chitosan oligosaccharide	C06023
3-Deoxy-D-manno-octulosonyl-lipid IV(A); KDO-lipid IV(A); 3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate	C06024
Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A); KDO2-lipid IV(A)	C06025
Di[3-deoxy-D-manno-octulosonyl]-lipid A; KDO2-lipid A; alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid A; Dodecanoyl-(tetradecanoyl)-KDO2-lipid IV(A)	C06026
L-erythro-3-Methylmalyl-CoA; beta-Methylmalyl-CoA; (2R,3S)-2-Methylmalyl-CoA; L-erythro-beta-Methylmalyl-CoA; (2R,3S)-2-Methyl-3-carboxy-3-hydroxypropanoyl-CoA	C06027
2-Methylfumaryl-CoA; Mesaconyl-CoA; Mesaconyl-C1-CoA; (E)-3-Carboxy-2-methylprop-2-enoyl-CoA	C06028
Methyloxaloacetate	C06030
D-erythro-3-Methylmalate; (2R,3S)-3-Methylmalate	C06032
Parapyruvate; 4-Hydroxy-4-methyl-2-oxoglutarate	C06033
Digalactosyl-diacylglycerol; DGDG; Gal-alpha1->6Gal-beta1->3acyl2Gro; Galalpha1->6Galbeta1->3acyl2Gro; 1,2-Diacyl-3-O-[alpha-D-galactosyl-(1->6)-beta-D-galactosyl]-sn-glycerol; 3-[alpha-D-Galactosyl-(1->6)-beta-D-galactosyl]-1,2-diacyl-sn-glycerol; 2,3-Di-O-acyl-1-O-(6-O-alpha-D-galactosyl-beta-D-galactosyl)-D-glycerol	C06037
Acyl1-monogalactosyl-diacylglycerol; Acylmono-beta-D-galactosyldiacylglycerol; acyl1->6Gal-beta1->3acyl2Gro; acyl1->6Galbeta1->3acyl2Gro; 1,2-Diacyl-3-O-(acyl(1->6)-O-beta-D-galactosyl)-sn-glycerol	C06038
Diglucosyldiacylglycerol; beta-Gentiobiosyldiacylglycerol; Glc-beta1->6Glc-beta1->3acyl2Gro; Glcbeta1->6Glcbeta1->3acyl2Gro; 1,2-Diacyl-3-O-[beta-D-glucopyranosyl-(1->6)-O-beta-D-glucopyranosyl]-sn-glycerol	C06040
Glycerophosphoglycoglycerolipid; (sn-Gro-1-P)->6Glc-beta1->6Glc-beta1->3acyl2Gro; (sn-Gro-1-P)->6Glcbeta1->6Glcbeta1->3acyl2Gro	C06041
4-Hydroxyphenylethanol; Tyrosol	C06044
Stizolobate; Stizolobic acid	C06047
Stizolobinate; Stizolobinic acid	C06048
Isopyridoxal	C06051
2-Oxo-3-hydroxy-4-phosphobutanoate; alpha-Keto-3-hydroxy-4-phosphobutyrate; (3R)-3-Hydroxy-2-oxo-4-phosphonooxybutanoate; (3R)-3-Hydroxy-2-oxo-4-phosphooxybutanoate	C06054
O-Phospho-4-hydroxy-L-threonine; 4-(Phosphonooxy)-threonine; 4-(Phosphonooxy)-L-threonine; 4-Phosphooxy-L-threonine	C06055
4-Hydroxy-L-threonine; Hydroxythreonine	C06056
Amidine	C06060
4,5-Dihydro-5,5-dimethyl-4-(3-oxobutyl)furan-2(3H)-one	C06066
Myrcene; beta-Myrcene	C06074
Terpinolene	C06075
Tetrahymanol	C06083
Pimaradiene; Pimara-8(14),15-diene	C06086
Abietate; Abietic acid	C06087
ent-Copalyl diphosphate; (-)-Copalyl diphosphate	C06089
Zeaxanthin; (3R,3'R)-beta,beta-Carotene-3,3'-diol	C06098
Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate; 6-Oxohexanoic acid	C06102
6-Hydroxyhexanoic acid; 6-Hydroxyhexanoate	C06103
Adipate; Adipic acid; Hexanedioate; Hexan-1,6-dicarboxylate	C06104
Cyclohexane-1,2-dione	C06105
Fluoroacetate; Fluoroacetic acid; Cymonic acid; Gifblaar poison; HFA; UN 2642	C06108
Cytochrome P-450 oxidized form	C06109
Cytochrome P-450 reduced form	C06110
L-Glutamyl-tRNA(Gln); Glu-tRNA(Gln); Glutamyl-tRNA(Gln)	C06112
L-Aspartyl-tRNA(Asn); Asp-tRNA(Asn); Aspartyl-tRNA(Asn)	C06113
gamma-Glutamyl-beta-aminopropiononitrile; gamma-Glutamyl-3-aminopropiononitrile	C06114
4-(4-Deoxy-alpha-D-gluc-4-enuronosyl)-D-galacturonate; 4-(4-Deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate; Unsaturated digalacturonate	C06118
Hexadecenal; 2-trans-Hexadecenal	C06123
Sphingosine 1-phosphate; Sphing-4-enine 1-phosphate; S1P	C06124
Sulfatide; Galactosylceramide sulfate; Cerebroside 3-sulfate	C06125
Digalactosylceramide; Gal-alpha1->4Gal-beta1->1'Cer	C06126
GM4; N-Acetylneuraminyl-galactosylceramide; Neu5Ac-alpha2->3Gal-beta1->1'Cer	C06128
GA2; GalNAc-beta1->4Gal-beta1->4Glc-beta1->1'Cer; GalNAc-beta1->4LacCer	C06135
GA1; Gal-beta1->3GalNAc-beta1->4Gal-beta1->4Glc-beta1->1'Cer; Gal-beta1->3GalNAc-beta1->4LacCer	C06136
GQ1; Neu5Ac-alpha2->8Neu5Ac-alpha2->3Gal-beta1->3GalNAc-beta1->4(Neu5Ac-alpha2->8Neu5Ac-alpha2->3)Gal-beta1->4Glc-beta1->1'Cer; Neu5Ac-alpha2->8Neu5Ac-alpha2->3Gal-beta1->3GalNAc-beta1->4(Neu5Ac-alpha2->8Neu5Ac-alpha2->3)LacCer	C06139
GT1b; Neu5Ac-alpha2->3Gal-beta1->3GalNAc-beta1->4(Neu5Ac-alpha2->8Neu5Ac-alpha2->3)Gal-beta1->4Glc-beta1->1'Cer; Neu5Ac-alpha2->3Gal-beta1->3GalNAc-beta1->4(Neu5Ac-alpha2->8Neu5Ac-alpha2->3)LacCer	C06140
GD1b; Gal-beta1->3GalNAc-beta1->4(Neu5Ac-alpha2->8Neu5Ac-alpha2->3)Gal-beta1->4Glc-beta1->1'Cer; Gal-beta1->3GalNAc-beta1->4(Neu5Ac-alpha2->8Neu5Ac-alpha2->3)LacCer	C06141
1-Butanol; n-Butanol; Butan-1-ol	C06142
Poly-beta-hydroxybutyrate	C06143
3-Butynoate; But-3-ynoate	C06144
2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine	C06148
scyllo-Inositol; Scyllitol	C06153
alpha-D-Glucosamine 1-phosphate; D-Glucosamine 1-phosphate	C06156
[Dihydrolipoyllysine-residue succinyltransferase] S-glutaryldihydrolipoyllysine; S-Glutaryldihydrolipoamide-E	C06157
2-Dehydro-3-deoxy-D-fuconate	C06159
(S)-Norcoclaurine; 6,7-Dihydroxy-(1S)-[(4-hydroxyphenyl)methyl]-1,2,3,4-tetrahydroisoquinoline	C06160
(S)-Coclaurine; Coclaurine; (S)-1,2,3,4-Tetrahydro-1-[(4-hydroxyphenyl)methyl]-6-methoxy-7-isoquinolinol; 1-(p-Hydroxybenzyl)-6-methoxy-7-hydroxy-1,2,3,4-tetrahydroisoquinoline	C06161
Sanguinarine	C06162
(S)-cis-N-Methylstylopine	C06163
1,2-Dehydroreticuline; 1,2-Dehydroreticulinium; 3,4-Dihydro-7-hydroxy-1-[(3-hydroxy-4-methoxyphenyl)methyl]-6-methoxy-2-(methyl-14C)-isoquinolinium	C06167
Codeinone; (5alpha)-7,8-Didehydro-4,5-epoxy-3-methoxy-17-methylmorphinan-6-one	C06171
Thebaine	C06173
Codeine; (5alpha,6alpha)-7,8-Didehydro-4,5-epoxy-3-methoxy-17-methylmorphinan-6-ol	C06174
Arbutin 6-phosphate; Arbutin-6P	C06187
Salicin 6-phosphate; Salicin-6P	C06188
ADP-mannose; APD-D-mannose	C06192
Guanosine 3'-phosphate; 3'-GMP; 3'-Guanylic acid; Guo-3'-P; Gp	C06193
2',3'-Cyclic GMP	C06194
Imidazolone; 4-Imidazolone; Imidazol-4-one	C06195
2'-Deoxyinosine 5'-phosphate; dIMP	C06196
P1,P4-Bis(5'-uridyl) tetraphosphate; UppppU	C06198
2,4-Dihydroxyhept-2-enedioate; 2,4-Dihydroxyhept-2-1,7-dioate; 2,4-Dihydroxyhept-2-enedioic acid	C06201
Salicylaldehyde; o-Hydroxybenzaldehyde; 2-Hydroxybenzaldehyde	C06202
trans-o-Hydroxybenzylidenepyruvate; (3E)-4-(2-Hydroxyphenyl)-2-oxobut-3-enoate	C06203
2-Hydroxychromene-2-carboxylate; 2-Hydroxy-2H-chromene-2-carboxylate	C06204
1,2-Dihydronaphthalene-1,2-diol	C06205
Benzoyl phosphate	C06206
N-Methylserotonin	C06212
N-Methyltryptamine; N-Methylindoleethylamine; 1-Methyl-2-(3-indolyl)ethylamine	C06213
Levan; (2,6-beta-D-Fructosyl)n; Levan n; 2,6-beta-D-Fructan; (2,6-beta-D-Fructosyl)n+1	C06215
Celloheptaose	C06216
Cellohexaose	C06217
Cellopentaose	C06218
Cellotriose	C06219
Sedoheptulose 1-phosphate; altro-Heptulose 1-phosphate	C06222
Ectoine; L-Ectoine; (4S)-2-Methyl-1,4,5,6-tetrahydropyrimidine-4-carboxylate	C06231
Molybdate	C06232
UDP-N-acetyl-D-mannosaminouronate; UDP-N-acetyl-2-amino-2-deoxy-D-mannuronate; UDP-N-acetyl-D-mannosaminuronic acid; UDP-N-acetyl-alpha-D-mannosaminuronate	C06240
N-Acetylneuraminate 9-phosphate	C06241
Acetamide	C06244
Apo-[carboxylase]; [Biotin carboxyl-carrier protein]-L-lysine	C06249
Holo-[carboxylase]; Biotin-carboxyl-carrier protein; [Biotin carboxyl-carrier protein]-biotin-N6-L-lysine; [Biotin carboxyl-carrier protein]-N6-biotinyl-L-lysine	C06250
Lauroyl-KDO2-lipid IV(A); Dodecanoyl-KDO2-lipid IV(A)	C06251
Ferrocytochrome b	C06259
Ferricytochrome b	C06260
Vanadium; V	C06267
(+)-Camphene; (+)-Comphene	C06304
(+)-alpha-Pinene; (1R,5R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene	C06306
(-)-beta-Pinene; (1S,5S)-6,6-Dimethyl-2-methylenebicyclo[3.1.1]heptane	C06307
(-)-alpha-Pinene; (1S,5S)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene	C06308
Diplopterol; 22-Hopanol; Hopan-22-ol	C06309
Diploptene; 22(29)-Hopene; Hop-22(29)-ene	C06310
Galactitol 1-phosphate; L-Galactitol 1-phosphate; D-Galactitol 6-phosphate	C06311
Biopterin; 2-Amino-6-(1,2-dihydroxypropyl)-4(1H)-pteridinone	C06313
(3S,4R)-3,4-Dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate; (1R,6S)-Dihydroxycyclohexa-2,4-diene-1,4-dicarboxylate; Terephthalate-1,2-cis-dihydrodiol; cis-4,5-Dihydroxycyclohexa-1(6),2-diene-1,4-dicarboxylate	C06318
Precorrin 6Y; Precorrin 6B	C06319
Precorrin 6X; Precorrin 6A	C06320
(1R,6S)-1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate; cis-1,2-Dihydroxycyclohexa-3,5-diene-1-carboxylate; cis-1,6-Dihydroxy-2,4-cyclohexadiene-1-carboxylic acid	C06321
Cyclohexa-1,5-diene-1-carbonyl-CoA; Cyclohexa-1,5-dienecarbonyl-CoA; S-1,5-Cyclohexadiene-1-carboxylate coenzymeA	C06322
Isoquinoline; 2-Benzazine; Benzo[c]pyridine	C06323
Isocarbostyril; 1(2H)-Isoquinolinone; Isoquinolin-1(2H)-one	C06324
2-Quinolinecarboxylic acid; Quinaldinic acid; Quinaldic acid; 2-Quinolinecarboxylate; Quinaldate	C06325
(2S)-2-{[1-(R)-Carboxyethyl]amino}pentanoate	C06326
Chelirubine	C06327
2-Chloromaleylacetate	C06329
Terephthalate; Terephthalic acid; 1,4-Benzenedicarboxylic acid	C06337
(R,S)-Norcoclaurine; Norcoclaurine; 6,7-Dihydroxy-1-[(4-hydroxyphenyl)methyl]-1,2,3,4-tetrahydroisoquinoline; Higenamine	C06346
(R,S)-Coclaurine; dl-Coclaurine; 6-Methoxy-7-hydroxy-1-[(4-hydroxyphenyl)methyl]-1,2,3,4-tetrahydroisoquinoline; Machiline	C06348
Tetrahydropapaveroline; (R,S)-Norlaudanosoline; Norlaudanosoline	C06350
2,3',4,6-Tetrahydroxybenzophenone	C06355
2,4,6-Trihydroxybenzophenone; Phenyl(2,4,6-trihydroxyphenyl)-methanone	C06356
Alkyl cinnamate	C06357
Methyl cinnamate; 3-Phenyl-2-propenoic acid methyl	C06358
Ethyl cinnamate; 3-Phenylpropenoic acid ethyl	C06359
Propyl cinnamate; 3-Phenylpropenoic acid propyl ester	C06360
Anthocyanidin-3,5-diglucoside; Anthocyanidin 3,5-di-O-beta-D-glucoside	C06361
Hydroxycinnamoyl-CoA	C06362
Anthocyanidin 3-glucoside-5-hydroxycinnamoylglucoside	C06363
1,2-Diacyl-3-alpha-D-glucosyl-sn-glycerol; 1,2-Diacyl-3-O-(alpha-D-glucopyranosyl)-sn-glycerol	C06364
alpha-Kojibiosyldiacylglycerol; Glc-alpha1->2Glc-alpha1->3acyl2Gro; Glcalpha1->2Glcalpha1->3acyl2Gro; 1,2-Diacyl-3-O-[alpha-D-glucopyranosyl-(1->2)-O-alpha-D-glucopyranosyl]-sn-glycerol	C06365
sym-Homospermidine; Homospermidine	C06366
1-Carboxyvinyl carboxyphosphonate; Carboxyphosphonoenolpyruvate	C06367
3-(Hydrohydroxyphosphoryl)pyruvate; (Hydroxyphosphinyl)pyruvate; 3-Phosphinopyruvate	C06368
alpha-D-Glucuronoside	C06370
Lacto-N-tetraose; beta-D-Gal-(1->3)-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-D-Glc	C06371
Lacto-N-biose; beta-D-Gal-(1->3)-D-GlcNAc; beta-D-Galactopyranosyl-(1->3)-N-acetyl-D-glucosamine	C06372
Phthalylamide; Phthalyl (N substituted) amide	C06374
N-Acetyl-D-galactosamine 6-phosphate	C06376
D-Galactosamine 6-phosphate	C06377
N-Acyl-D-amino acid	C06378
N-Acyl-D-glutamate	C06379
N-Acyl-D-aspartate	C06380
Methylenediurea	C06381
N-(Carboxyaminomethyl)urea	C06382
N-(Aminomethyl)urea	C06383
N-(Hydroxymethyl)urea	C06384
4-Chlorobenzoyl-CoA	C06387
2-Aryl-2-methylmalonate	C06388
2-Arylpropionate	C06389
16-alpha-Hydroxypregnenolone; 16alpha-Hydroxypregnenolone	C06390
16,17-Didehydropregnenolone	C06392
2,3-Diaminopropanoate; 2,3-Diaminopropionate; 2,3-Diaminopropionic acid; 2,3-Diaminopropanoic acid	C06393
omega-Agatoxin IVC; [Protein]-L-serine	C06395
omega-Agatoxin IVB; [Protein]-D-serine	C06396
ADP-D-glycero-beta-D-manno-heptose	C06397
ADP-L-glycero-beta-D-manno-heptose	C06398
Hydrogenobyrinate; Hydrogenobyrinic acid	C06399
1-alpha-D-[(1->4)-alpha-D-Glucosyl](n-1)-alpha-D-glucopyranoside; 4-alpha-D-(1,4-alpha-D-Glucanosyl)n trehalose; Maltooligosyltrehalose	C06400
Precorrin 3B	C06406
Precorrin 4	C06407
Precorrin 8X; Precorrin 8; Precorrin-8X	C06408
Quinoline; Benzo[b]pyridine	C06413
4-Quinolinecarboxylic acid; Quinoline-4-carboxylate; Quinoline-4-carboxylic acid; Cinchonic acid	C06414
2(1H)-Quinolinone; Quinolin-2(1H)-one	C06415
Precorrin 5	C06416
Octanoic acid; Caprylic acid; Octylic acid	C06423
(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate	C06427
(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid; Eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate	C06428
UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanine; UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-L-lysyl-D-alanine	C06432
5'-Benzoylphosphoadenosine	C06433
5'-Butyrylphosphoinosine; Inosine 5'-phosphobutyrate	C06435
L-Xylulose 1-phosphate	C06441
N(gamma)-Acetyldiaminobutyrate; N4-Acetyl-L-2,4-diaminobutyrate; N4-Acetyl-L-2,4-diaminobutanoate; (2S)-4-Acetamido-2-aminobutanoate	C06442
2-Hydroxyethylphosphonate; (2-Hydroxyethyl)-phosphonic acid	C06451
(S)-2-Hydroxypropylphosphonate	C06452
Methylcobalamin; Methylcob(III)alamin	C06453
Fosfomycin; Phosphonomycin; (1R,2S)-Epoxypropylphosphonate	C06454
Phosphonoformate; Foscarmet; Foscarnet	C06456
N-Trimethyl-2-aminoethylphosphonate; 2-Trimethylaminoethylphosphonate	C06459
